"tconst","primaryTitle","startYear","runtimeMinutes","averageRating","numVotes"
tt0111161,The Shawshank Redemption,1994,142,9.3,2933616
tt0468569,The Dark Knight,2008,152,9.0,2914022
tt1375666,Inception,2010,148,8.8,2587592
tt0137523,Fight Club,1999,139,8.8,2365113
tt0109830,Forrest Gump,1994,142,8.8,2294287
tt0110912,Pulp Fiction,1994,154,8.9,2253218
tt0816692,Interstellar,2014,169,8.7,2149979
tt0133093,The Matrix,1999,136,8.7,2083320
tt0068646,The Godfather,1972,175,9.2,2044687
tt0120737,The Lord of the Rings: The Fellowship of the Ring,2001,178,8.9,2035850
tt0167260,The Lord of the Rings: The Return of the King,2003,201,9.0,2007023
tt1345836,The Dark Knight Rises,2012,164,8.4,1851979
tt0114369,Se7en,1995,127,8.6,1828798
tt0167261,The Lord of the Rings: The Two Towers,2002,179,8.8,1809782
tt0172495,Gladiator,2000,155,8.5,1651930
tt0993846,The Wolf of Wall Street,2013,180,8.2,1614016
tt0361748,Inglourious Basterds,2009,153,8.4,1611339
tt0372784,Batman Begins,2005,140,8.2,1598952
tt0102926,The Silence of the Lambs,1991,118,8.6,1572441
tt7286456,Joker,2019,122,8.4,1526209
tt0120815,Saving Private Ryan,1998,169,8.6,1517497
tt1130884,Shutter Island,2010,138,8.2,1484638
tt0848228,The Avengers,2012,143,8.0,1474684
tt0108052,Schindler's List,1993,195,9.0,1471162
tt0076759,Star Wars: Episode IV - A New Hope,1977,121,8.6,1467637
tt0482571,The Prestige,2006,130,8.5,1462231
tt0407887,The Departed,2006,151,8.5,1440617
tt0120689,The Green Mile,1999,189,8.6,1428927
tt0499549,Avatar,2009,162,7.9,1400095
tt0080684,Star Wars: Episode V - The Empire Strikes Back,1980,124,8.7,1398058
tt0071562,The Godfather Part II,1974,202,9.0,1382591
tt0209144,Memento,2000,113,8.4,1339081
tt0088763,Back to the Future,1985,116,8.5,1328386
tt0120338,Titanic,1997,194,7.9,1301648
tt4154796,Avengers: Endgame,2019,181,8.4,1294347
tt2015381,Guardians of the Galaxy,2014,121,8.0,1286938
tt0099685,Goodfellas,1990,145,8.7,1276568
tt0110413,Léon: The Professional,1994,110,8.5,1262462
tt4154756,Avengers: Infinity War,2018,149,8.4,1228696
tt0325980,Pirates of the Caribbean: The Curse of the Black Pearl,2003,143,8.1,1227648
tt0169547,American Beauty,1999,122,8.3,1221641
tt0120382,The Truman Show,1998,103,8.2,1221184
tt0910970,WALL·E,2008,98,8.4,1217978
tt0266697,Kill Bill: Vol. 1,2003,111,8.2,1211929
tt0120586,American History X,1998,119,8.5,1199789
tt0103064,Terminator 2: Judgment Day,1991,137,8.6,1190422
tt0434409,V for Vendetta,2005,132,8.1,1189816
tt1431045,Deadpool,2016,108,8.0,1162654
tt0110357,The Lion King,1994,88,8.5,1159411
tt0114814,The Usual Suspects,1995,106,8.5,1157700
tt1049413,Up,2009,96,8.3,1142152
tt0371746,Iron Man,2008,126,7.9,1140281
tt0086190,Star Wars: Episode VI - Return of the Jedi,1983,131,8.3,1135118
tt0266543,Finding Nemo,2003,100,8.2,1127155
tt1392190,Mad Max: Fury Road,2015,120,8.1,1126581
tt0081505,The Shining,1980,146,8.4,1123843
tt0112573,Braveheart,1995,178,8.3,1102102
tt0105236,Reservoir Dogs,1992,99,8.3,1101327
tt0338013,Eternal Sunshine of the Spotless Mind,2004,108,8.3,1092369
tt0119217,Good Will Hunting,1997,126,8.3,1089189
tt0073486,One Flew Over the Cuckoo's Nest,1975,133,8.7,1084274
tt0114709,Toy Story,1995,81,8.3,1083718
tt0107290,Jurassic Park,1993,127,8.2,1083416
tt0477348,No Country for Old Men,2007,122,8.2,1078483
tt0167404,The Sixth Sense,1999,107,8.2,1066342
tt0082971,Raiders of the Lost Ark,1981,115,8.4,1047336
tt1392170,The Hunger Games,2012,142,7.2,1016265
tt2582802,Whiplash,2014,106,8.5,1013226
tt0268978,A Beautiful Mind,2001,135,8.2,997719
tt0198781,"Monsters, Inc.",2001,92,8.1,993723
tt2488496,Star Wars: Episode VII - The Force Awakens,2015,138,7.8,982628
tt0078748,Alien,1979,117,8.5,973734
tt1201607,Harry Potter and the Deathly Hallows: Part 2,2011,130,8.1,961871
tt0095016,Die Hard,1988,132,8.2,956531
tt1675434,The Intouchables,2011,112,8.5,942639
tt3659388,The Martian,2015,144,8.0,939153
tt0088247,The Terminator,1984,107,8.1,937147
tt0075314,Taxi Driver,1976,114,8.2,936962
tt2395427,Avengers: Age of Ultron,2015,141,7.3,934551
tt0086250,Scarface,1983,170,8.3,930556
tt0253474,The Pianist,2002,150,8.5,928288
tt0208092,Snatch,2000,102,8.2,920916
tt0180093,Requiem for a Dream,2000,102,8.3,910816
tt0800369,Thor,2011,115,7.0,910636
tt1843866,Captain America: The Winter Soldier,2014,136,7.7,909762
tt1300854,Iron Man 3,2013,130,7.1,909698
tt0458339,Captain America: The First Avenger,2011,124,6.9,907717
tt0435761,Toy Story 3,2010,103,8.3,903640
tt10872600,Spider-Man: No Way Home,2021,148,8.2,901931
tt1160419,Dune,2021,155,8.0,898856
tt2278388,The Grand Budapest Hotel,2014,99,8.1,898323
tt0145487,Spider-Man,2002,121,7.4,893449
tt0066921,A Clockwork Orange,1971,136,8.2,890307
tt1663202,The Revenant,2015,156,8.0,886236
tt0050083,"12 Angry Men",1957,96,9.0,880908
tt1228705,Iron Man 2,2010,124,6.9,879519
tt0416449,"300",2006,117,7.6,872705
tt0120915,Star Wars: Episode I - The Phantom Menace,1999,136,6.5,869832
tt0118715,The Big Lebowski,1998,117,8.1,869312
tt1454468,Gravity,2013,91,7.7,869083
tt0241527,Harry Potter and the Sorcerer's Stone,2001,152,7.6,868339
tt0245429,Spirited Away,2001,125,8.6,867337
tt3498820,Captain America: Civil War,2016,147,7.8,862815
tt0246578,Donnie Darko,2001,113,8.0,859907
tt1119646,The Hangover,2009,100,7.7,858737
tt0121766,Star Wars: Episode III - Revenge of the Sith,2005,140,7.6,857068
tt3315342,Logan,2017,137,8.1,856375
tt1825683,Black Panther,2018,134,7.3,848787
tt0382932,Ratatouille,2007,111,8.1,844107
tt0947798,Black Swan,2010,108,8.0,835646
tt2084970,The Imitation Game,2014,114,8.0,833705
tt0083658,Blade Runner,1982,117,8.1,832235
tt3501632,Thor: Ragnarok,2017,130,7.9,828596
tt1392214,Prisoners,2013,153,8.2,827485
tt0480249,I Am Legend,2007,101,7.2,826439
tt2096673,Inside Out,2015,95,8.1,823431
tt0317705,The Incredibles,2004,115,8.0,823389
tt1205489,Gran Torino,2008,116,8.1,822158
tt0060196,"The Good, the Bad and the Ugly",1966,178,8.8,821891
tt0097576,Indiana Jones and the Last Crusade,1989,127,8.2,819193
tt0770828,Man of Steel,2013,143,7.1,818541
tt1211837,Doctor Strange,2016,115,7.5,817803
tt0378194,Kill Bill: Vol. 2,2004,137,8.0,816443
tt0317248,City of God,2002,130,8.6,810955
tt1877830,The Batman,2022,176,7.8,808709
tt0211915,Amélie,2001,122,8.3,801406
tt0093058,Full Metal Jacket,1987,116,8.2,799750
tt0401792,Sin City,2005,124,8.0,797785
tt15398776,Oppenheimer,2023,180,8.3,788548
tt8946378,Knives Out,2019,130,7.9,786844
tt2543164,Arrival,2016,116,7.9,785780
tt0090605,Aliens,1986,137,8.4,779253
tt0383574,Pirates of the Caribbean: Dead Man's Chest,2006,151,7.4,777025
tt3896198,Guardians of the Galaxy Vol. 2,2017,136,7.6,770668
tt0121765,Star Wars: Episode II - Attack of the Clones,2002,142,6.6,769507
tt1285016,The Social Network,2010,120,7.8,768446
tt2975590,Batman v Superman: Dawn of Justice,2016,151,6.5,758074
tt1877832,X-Men: Days of Future Past,2014,132,7.9,755860
tt0118799,Life Is Beautiful,1997,116,8.6,752344
tt2911666,John Wick,2014,101,7.4,751293
tt1631867,Edge of Tomorrow,2014,113,7.9,748262
tt2024544,"12 Years a Slave",2013,134,8.1,748108
tt1045658,Silver Linings Playbook,2012,122,7.7,748049
tt0126029,Shrek,2001,90,7.9,746546
tt1074638,Skyfall,2012,143,7.8,736922
tt0144084,American Psycho,2000,102,7.6,735901
tt0116282,Fargo,1996,98,8.1,734634
tt1270798,X-Men: First Class,2011,131,7.7,733705
tt1981115,Thor: The Dark World,2013,112,6.7,733444
tt0117951,Trainspotting,1996,93,8.1,733010
tt0816711,World War Z,2013,116,7.0,731799
tt2250912,Spider-Man: Homecoming,2017,133,7.4,731442
tt0478970,Ant-Man,2015,117,7.2,731334
tt1951264,The Hunger Games: Catching Fire,2013,146,7.5,729885
tt0113277,Heat,1995,170,8.3,729605
tt0062622,"2001: A Space Odyssey",1968,149,8.3,729024
tt0405159,Million Dollar Baby,2004,132,8.1,728610
tt1386697,Suicide Squad,2016,123,5.9,728319
tt0054215,Psycho,1960,109,8.5,727983
tt1745960,Top Gun: Maverick,2022,130,8.2,726303
tt1136608,District 9,2009,112,7.9,722917
tt0316654,Spider-Man 2,2004,127,7.5,721240
tt5052448,Get Out,2017,104,7.8,720609
tt0078788,Apocalypse Now,1979,147,8.4,718764
tt1670345,Now You See Me,2013,115,7.2,717062
tt0780504,Drive,2011,100,7.8,714705
tt1170358,The Hobbit: The Desolation of Smaug,2013,161,7.8,713559
tt1504320,The King's Speech,2010,118,8.0,712217
tt0948470,The Amazing Spider-Man,2012,136,6.9,712115
tt0457430,Pan's Labyrinth,2006,118,8.2,708976
tt0451279,Wonder Woman,2017,141,7.3,705871
tt0421715,The Curious Case of Benjamin Button,2008,166,7.8,703029
tt0295297,Harry Potter and the Chamber of Secrets,2002,161,7.4,702207
tt0304141,Harry Potter and the Prisoner of Azkaban,2004,142,7.9,702181
tt0449088,Pirates of the Caribbean: At World's End,2007,169,7.1,701865
tt0381061,Casino Royale,2006,144,8.0,701213
tt3748528,Rogue One: A Star Wars Story,2016,133,7.8,696491
tt0107048,Groundhog Day,1993,101,8.0,693625
tt8579674,"1917",2019,119,8.2,692592
tt0330373,Harry Potter and the Goblet of Fire,2005,157,7.7,691259
tt4633694,Spider-Man: Into the Spider-Verse,2018,117,8.4,688942
tt3783958,La La Land,2016,128,8.0,687032
tt0369610,Jurassic World,2015,124,6.9,687031
tt0418279,Transformers,2007,144,7.0,681594
tt1856101,Blade Runner 2049,2017,164,8.0,680837
tt1798709,Her,2013,126,8.0,680459
tt2527336,Star Wars: Episode VIII - The Last Jedi,2017,152,6.9,680154
tt5463162,Deadpool 2,2018,119,7.6,677924
tt0988045,Sherlock Holmes,2009,128,7.6,677767
tt0454876,Life of Pi,2012,127,7.9,672497
tt0073195,Jaws,1975,124,8.1,671855
tt2562232,Birdman or (The Unexpected Virtue of Ignorance),2014,119,7.7,671558
tt2294629,Frozen,2013,102,7.4,671222
tt3460252,The Hateful Eight,2015,168,7.8,669021
tt1637725,Ted,2012,106,6.9,665073
tt0758758,Into the Wild,2007,148,8.1,664111
tt0440963,The Bourne Ultimatum,2007,115,8.0,662832
tt0099785,Home Alone,1990,103,7.7,660819
tt0120903,X-Men,2000,104,7.3,659314
tt1446714,Prometheus,2012,124,7.0,657259
tt0114746,"12 Monkeys",1995,129,8.0,652075
tt0469494,There Will Be Blood,2007,158,8.2,649361
tt0413300,Spider-Man 3,2007,139,6.3,647796
tt0364569,Oldboy,2003,120,8.3,647672
tt0162222,Cast Away,2000,143,7.8,647265
