"tconst","primaryTitle","genres","startYear","runtimeMinutes","averageRating","numVotes"
tt0111161,The Shawshank Redemption,Drama,1994,142,9.3,2933616
tt0468569,The Dark Knight,"Action,Crime,Drama",2008,152,9.0,2914022
tt1375666,Inception,"Action,Adventure,Sci-Fi",2010,148,8.8,2587592
tt0137523,Fight Club,Drama,1999,139,8.8,2365113
tt0109830,Forrest Gump,"Drama,Romance",1994,142,8.8,2294287
tt0110912,Pulp Fiction,"Crime,Drama",1994,154,8.9,2253218
tt0816692,Interstellar,"Adventure,Drama,Sci-Fi",2014,169,8.7,2149979
tt0133093,The Matrix,"Action,Sci-Fi",1999,136,8.7,2083320
tt0068646,The Godfather,"Crime,Drama",1972,175,9.2,2044687
tt0120737,The Lord of the Rings: The Fellowship of the Ring,"Action,Adventure,Drama",2001,178,8.9,2035850
tt0167260,The Lord of the Rings: The Return of the King,"Action,Adventure,Drama",2003,201,9.0,2007023
tt1345836,The Dark Knight Rises,"Action,Drama,Thriller",2012,164,8.4,1851979
tt0114369,Se7en,"Crime,Drama,Mystery",1995,127,8.6,1828798
tt0167261,The Lord of the Rings: The Two Towers,"Action,Adventure,Drama",2002,179,8.8,1809782
tt0172495,Gladiator,"Action,Adventure,Drama",2000,155,8.5,1651930
tt0993846,The Wolf of Wall Street,"Biography,Comedy,Crime",2013,180,8.2,1614016
tt0361748,Inglourious Basterds,"Adventure,Drama,War",2009,153,8.4,1611339
tt0372784,Batman Begins,"Action,Crime,Drama",2005,140,8.2,1598952
tt0102926,The Silence of the Lambs,"Crime,Drama,Thriller",1991,118,8.6,1572441
tt7286456,Joker,"Crime,Drama,Thriller",2019,122,8.4,1526209
tt0120815,Saving Private Ryan,"Drama,War",1998,169,8.6,1517497
tt1130884,Shutter Island,"Drama,Mystery,Thriller",2010,138,8.2,1484638
tt0848228,The Avengers,"Action,Sci-Fi",2012,143,8.0,1474684
tt0108052,Schindler's List,"Biography,Drama,History",1993,195,9.0,1471162
tt0076759,Star Wars: Episode IV - A New Hope,"Action,Adventure,Fantasy",1977,121,8.6,1467637
tt0482571,The Prestige,"Drama,Mystery,Sci-Fi",2006,130,8.5,1462231
tt0407887,The Departed,"Crime,Drama,Thriller",2006,151,8.5,1440617
tt0120689,The Green Mile,"Crime,Drama,Fantasy",1999,189,8.6,1428927
tt0499549,Avatar,"Action,Adventure,Fantasy",2009,162,7.9,1400095
tt0080684,Star Wars: Episode V - The Empire Strikes Back,"Action,Adventure,Fantasy",1980,124,8.7,1398058
tt0071562,The Godfather Part II,"Crime,Drama",1974,202,9.0,1382591
tt0209144,Memento,"Mystery,Thriller",2000,113,8.4,1339081
tt0088763,Back to the Future,"Adventure,Comedy,Sci-Fi",1985,116,8.5,1328386
tt0120338,Titanic,"Drama,Romance",1997,194,7.9,1301648
tt4154796,Avengers: Endgame,"Action,Adventure,Drama",2019,181,8.4,1294347
tt2015381,Guardians of the Galaxy,"Action,Adventure,Comedy",2014,121,8.0,1286938
tt0099685,Goodfellas,"Biography,Crime,Drama",1990,145,8.7,1276568
tt0110413,Léon: The Professional,"Action,Crime,Drama",1994,110,8.5,1262462
tt4154756,Avengers: Infinity War,"Action,Adventure,Sci-Fi",2018,149,8.4,1228696
tt0325980,Pirates of the Caribbean: The Curse of the Black Pearl,"Action,Adventure,Fantasy",2003,143,8.1,1227648
tt0169547,American Beauty,Drama,1999,122,8.3,1221641
tt0120382,The Truman Show,"Comedy,Drama",1998,103,8.2,1221184
tt0910970,WALL·E,"Adventure,Animation,Family",2008,98,8.4,1217978
tt0266697,Kill Bill: Vol. 1,"Action,Crime,Thriller",2003,111,8.2,1211929
tt0120586,American History X,"Crime,Drama",1998,119,8.5,1199789
tt0103064,Terminator 2: Judgment Day,"Action,Adventure,Sci-Fi",1991,137,8.6,1190422
tt0434409,V for Vendetta,"Action,Drama,Sci-Fi",2005,132,8.1,1189816
tt1431045,Deadpool,"Action,Comedy",2016,108,8.0,1162654
tt0110357,The Lion King,"Adventure,Animation,Drama",1994,88,8.5,1159411
tt0114814,The Usual Suspects,"Crime,Drama,Mystery",1995,106,8.5,1157700
tt1049413,Up,"Adventure,Animation,Comedy",2009,96,8.3,1142152
tt0371746,Iron Man,"Action,Adventure,Sci-Fi",2008,126,7.9,1140281
tt0086190,Star Wars: Episode VI - Return of the Jedi,"Action,Adventure,Fantasy",1983,131,8.3,1135118
tt0266543,Finding Nemo,"Adventure,Animation,Comedy",2003,100,8.2,1127155
tt1392190,Mad Max: Fury Road,"Action,Adventure,Sci-Fi",2015,120,8.1,1126581
tt0081505,The Shining,"Drama,Horror",1980,146,8.4,1123843
tt0112573,Braveheart,"Biography,Drama,War",1995,178,8.3,1102102
tt0105236,Reservoir Dogs,"Crime,Thriller",1992,99,8.3,1101327
tt0338013,Eternal Sunshine of the Spotless Mind,"Drama,Romance,Sci-Fi",2004,108,8.3,1092369
tt0119217,Good Will Hunting,"Drama,Romance",1997,126,8.3,1089189
tt0073486,One Flew Over the Cuckoo's Nest,Drama,1975,133,8.7,1084274
tt0114709,Toy Story,"Adventure,Animation,Comedy",1995,81,8.3,1083718
tt0107290,Jurassic Park,"Action,Adventure,Sci-Fi",1993,127,8.2,1083416
